location,total_orders,total_quantity_sold,total_revenue,avg_order_value,Month
East Danielle,60,660,"₹115,681.20","₹1,928.02",Jul 2024
East Danielle,56,560,"₹127,489.60","₹2,276.60",Aug 2024
East Danielle,58,638,"₹144,184.52","₹2,485.94",Sep 2024
East Danielle,69,759,"₹150,334.44","₹2,178.76",Oct 2024
East Danielle,70,840,"₹174,420.40","₹2,491.72",Nov 2024
East Danielle,69,690,"₹132,135.00","₹1,915.00",Dec 2024
East Danielle,60,660,"₹121,836.60","₹2,030.61",Jan 2025
East Danielle,57,456,"₹123,626.73","₹2,168.89",Feb 2025
East Danielle,68,612,"₹173,507.44","₹2,551.58",Mar 2025
East Danielle,57,684,"₹145,807.71","₹2,558.03",Apr 2025
East Danielle,60,660,"₹128,575.80","₹2,142.93",May 2025
East Danielle,66,528,"₹121,065.12","₹1,834.32",Jun 2025
Williamview,56,504,"₹111,141.52","₹1,984.67",Jul 2024
Williamview,52,624,"₹94,887.00","₹1,824.75",Aug 2024
Williamview,58,464,"₹135,648.66","₹2,338.77",Sep 2024
Williamview,65,715,"₹152,412.00","₹2,344.80",Oct 2024
Williamview,63,504,"₹154,836.36","₹2,457.72",Nov 2024
Williamview,61,549,"₹154,374.53","₹2,530.73",Dec 2024
Williamview,58,522,"₹104,855.30","₹1,807.85",Jan 2025
Williamview,56,616,"₹139,630.96","₹2,493.41",Feb 2025
Williamview,68,680,"₹176,164.20","₹2,590.65",Mar 2025
Williamview,51,561,"₹109,453.14","₹2,146.14",Apr 2025
Williamview,56,672,"₹133,422.80","₹2,382.55",May 2025
Williamview,68,748,"₹176,760.56","₹2,599.42",Jun 2025
Lake Megan,57,627,"₹121,001.31","₹2,122.83",Jul 2024
Lake Megan,69,759,"₹125,933.28","₹1,825.12",Aug 2024
Lake Megan,66,660,"₹148,738.26","₹2,253.61",Sep 2024
Lake Megan,50,450,"₹126,772.50","₹2,535.45",Oct 2024
Lake Megan,50,600,"₹96,182.00","₹1,923.64",Nov 2024
Lake Megan,56,672,"₹118,581.68","₹2,117.53",Dec 2024
Lake Megan,59,472,"₹146,322.36","₹2,480.04",Jan 2025
Lake Megan,69,828,"₹174,091.83","₹2,523.07",Feb 2025
Lake Megan,65,585,"₹121,364.10","₹1,867.14",Mar 2025
Lake Megan,61,549,"₹148,503.89","₹2,434.49",Apr 2025
Lake Megan,58,464,"₹128,418.96","₹2,214.12",May 2025
Lake Megan,50,600,"₹98,652.50","₹1,973.05",Jun 2025
New Pamela,64,512,"₹116,982.40","₹1,827.85",Jul 2024
New Pamela,66,660,"₹161,072.34","₹2,440.49",Aug 2024
New Pamela,70,840,"₹146,834.10","₹2,097.63",Sep 2024
New Pamela,59,472,"₹124,954.33","₹2,117.87",Oct 2024
New Pamela,59,590,"₹138,142.60","₹2,341.40",Nov 2024
New Pamela,51,510,"₹120,802.17","₹2,368.67",Dec 2024
New Pamela,54,486,"₹100,212.12","₹1,855.78",Jan 2025
New Pamela,64,512,"₹143,382.40","₹2,240.35",Feb 2025
New Pamela,67,603,"₹133,004.38","₹1,985.14",Mar 2025
New Pamela,57,684,"₹146,606.85","₹2,572.05",Apr 2025
New Pamela,69,621,"₹143,481.36","₹2,079.44",May 2025
New Pamela,59,531,"₹127,332.03","₹2,158.17",Jun 2025
Smithhaven,57,513,"₹122,688.51","₹2,152.43",Jul 2024
Smithhaven,64,768,"₹140,527.36","₹2,195.74",Aug 2024
Smithhaven,50,400,"₹101,435.00","₹2,028.70",Sep 2024
Smithhaven,69,552,"₹156,805.95","₹2,272.55",Oct 2024
Smithhaven,56,616,"₹134,769.04","₹2,406.59",Nov 2024
Smithhaven,67,804,"₹120,843.21","₹1,803.63",Dec 2024
Smithhaven,57,684,"₹139,046.37","₹2,439.41",Jan 2025
Smithhaven,58,638,"₹144,936.78","₹2,498.91",Feb 2025
Smithhaven,53,530,"₹119,236.75","₹2,249.75",Mar 2025
Smithhaven,53,530,"₹120,537.37","₹2,274.29",Apr 2025
Smithhaven,68,748,"₹137,546.32","₹2,022.74",May 2025
Smithhaven,63,630,"₹151,022.34","₹2,397.18",Jun 2025
